Artist and Title,Streams,Daily
Zé Neto & Cristiano - Melhor Ser uma Saudade,153031120,62187.0
Stars Music Chile - Marisola,152865021,58686.0
Juice WRLD - Burn,152685935,99687.0
Lyodra - Sang Dewi,152539155,104144.0
Tom Santa - Rainfall (Praise You),152533585,248179.0
Julianno Sosa - Cochinae,152433343,58061.0
Yeat - On tha linë,152286144,194114.0
Bailey Zimmerman - Where It Ends,152258281,531694.0
Pritam - Deva Deva,152217921,131765.0
Louis Armstrong - Cheek to Cheek,152125568,76477.0
Sidhu Moose Wala - The Last Ride,151896889,72675.0
GloRilla - Tomorrow 2,151806474,120391.0
The Chainsmokers - High,151692324,57730.0
Lazza - CENERE,151629846,120221.0
James Arthur - Car's Outside,151007703,188452.0
Diplo - Don't Forget My Love,150805581,110224.0
Tiago PZK - Nos Comemos,150507061,30275.0
Jack Harlow - Churchill Downs,150385623,81480.0
DJ Robin - Layla,149910033,46419.0
Taylor Swift - High Infidelity,149822883,77421.0
Omah Lay - soso,149777535,325385.0
Gorillaz - New Gold,149726226,140988.0
Ivan Cornejo - J.,149591564,159649.0
NLE Choppa - DO IT AGAIN,149580516,113312.0
